"Title","UpdatesCount","LatestUpdate.Title","LatestUpdate.CreationDate","LatestUpdate.LegacyName","OldtestUpdate.Title","OldtestUpdate.CreationDate","OldtestUpdate.LegacyName","Id","ParentCategoryTitle"
"Windows 10 S and Later Servicing Drivers","0",,,,,,,"c1006636-eab4-4b0b-b1b0-d50282c0377e","Windows"
"Windows 10 S Version 1709 and Later Servicing Drivers for testing","0",,,,,,,"bb06ba08-3df8-4221-8794-18effb79156a","Windows"
"Windows 10 S Version 1709 and Later Upgrade & Servicing Drivers for testing","0",,,,,,,"b7f52cfb-c9e9-4481-9bc0-c8b4e208ba39","Windows"
"Windows 10 S Version 1803 and Later Servicing Drivers","0",,,,,,,"e727f134-a089-4b23-83f1-3004e054f658","Windows"
"Windows 10 S Version 1803 and Later Upgrade & Servicing Drivers","0",,,,,,,"761370fd-6dbb-427f-899e-c19d56e22a9b","Windows"
"Windows 10 S, version 1809 and later, Servicing Drivers","0",,,,,,,"39d54f77-4f1f-4e46-9752-c2de4cf2244d","Windows"
"Windows 10 S, version 1809 and later, Upgrade & Servicing Drivers","0",,,,,,,"bb0dab86-78bd-4561-a71c-fb0071efd262","Windows"
"Windows 10 S, version 1903 and later, Servicing Drivers","0",,,,,,,"a011d83e-195d-467c-95d7-14b0dd6ea4c8","Windows"
"Windows 10 S, version 1903 and later, Upgrade & Servicing Drivers","0",,,,,,,"05d9f254-88be-4293-8d10-2ddd42982e39","Windows"
"Windows 10 S, Vibranium and later, Servicing Drivers","0",,,,,,,"c34286fc-0dd4-426e-afe1-81771b7a2243","Windows"
"Windows 10 S, Vibranium and later, Upgrade & Servicing Drivers","0",,,,,,,"21f5b60b-b3b8-401e-a56f-2d96a1ea6015","Windows"
"Windows 10 version 1803 and Later Servicing Drivers","0",,,,,,,"8570b1a2-0551-42c8-a3e7-d3783c3d36d4","Windows"
"Windows 10 Version 1803 and Later Upgrade   & Servicing Drivers","0",,,,,,,"29e060d2-aa33-4784-9b50-2021bb84cc18","Windows"
"Windows 10, version 1809 and later, Servicing Drivers","0",,,,,,,"7ddc06c4-f2ff-4bb0-bc87-17b385c89a63","Windows"
"Windows 10, version 1809 and later, Upgrade & Servicing Drivers","0",,,,,,,"13610e13-fac1-4017-b703-82062db96be4","Windows"
"Windows 10, version 1903 and later, Servicing Drivers","0",,,,,,,"0e297a89-e334-4987-827b-370a429083b9","Windows"
"Windows 10, version 1903 and later, Upgrade & Servicing Drivers","0",,,,,,,"b488e84c-6d2c-4170-b915-c36f9bbcf6e7","Windows"
"Windows 10, version 1903 and later","919","悪意のあるソフトウェアの削除ツール x64 - v5.100 (KB890830)","2022/04/12 21:00:00","890830_X64_WIN8TP_MRT_v5.100","2019-04 ARM64 ベース システム用 Windows 10 Version 1903 の累積更新プログラム (KB4497093)","2019/05/01 17:00:06","KB4497093-Windows1019h1Client-RTM-ARM64-TSL-World","b3c75dc1-155f-4be4-b015-3f1a91758e52","Windows"
"Windows 10, Vibranium and later, Servicing Drivers","0",,,,,,,"d964a0e3-4646-46f5-9b31-b1aa3dcb5246","Windows"
"Windows 10, Vibranium and later, Upgrade & Servicing Drivers","0",,,,,,,"4a6d718b-bd08-4748-9dd5-c8cc2b1de451","Windows"
"Windows 10","1038","悪意のあるソフトウェアの削除ツール - v5.100 (KB890830)","2022/04/12 21:00:00","890830_X86_WIN8TP_MRT_v5.100","Windows 10 用更新プログラム (KB3141032)","2016/03/08 18:00:00","KB3141032-Win10-RTM-X86-TSL","a3c2375d-0c8a-42f9-bce0-28333e198407","Windows"
